iterID,nsse_cases,nsse_deaths,p_inf,p_hcw,c_hcw,d,q,p_s,rrd,intro,weight
132, 0.0478301, 0.139579, 0.11334, 0.460702, 40.2051, 0.232187, 0.116134, 0.576571, 2.07577, 5.44762e-07, 1
136, 0.0761687, 0.108353, 0.137978, 0.119387, 46.5327, 0.238164, 0.51916, 0.69334, 0.875605, 8.67373e-07, 1
137, 0.106722, 0.123958, 0.182117, 0.646987, 29.7143, 0.614992, 0.787, 0.681082, 2.01263, 3.84829e-07, 1
138, 0.0603718, 0.101621, 0.123225, 0.606107, 38.8405, 0.139231, 0.851582, 0.461351, 3.80934, 4.80441e-07, 1
140, 0.0610355, 0.0708496, 0.127131, 0.369249, 42.764, 0.183944, 0.20714, 0.593564, 2.26702, 4.90734e-07, 1
144, 0.0765156, 0.122377, 0.13833, 0.827449, 51.9205, 0.727537, 0.280691, 0.58197, 0.341101, 3.24686e-07, 1
146, 0.125739, 0.122648, 0.16696, 0.204715, 48.1633, 0.443136, 0.494519, 0.819898, 0.133828, 6.18592e-07, 1
153, 0.0585414, 0.137007, 0.111791, 0.434666, 43.6087, 0.221546, 0.118354, 0.587233, 2.36612, 5.14046e-07, 1
157, 0.140941, 0.132415, 0.159953, 0.300808, 29.4979, 0.379785, 0.49506, 0.773785, 0.448567, 9.03743e-07, 1
159, 0.0872066, 0.141293, 0.164223, 0.294495, 39.1053, 0.623633, 0.262852, 0.786118, 1.36026, 3.07126e-07, 1
160, 0.096052, 0.133038, 0.148431, 0.757907, 48.9587, 0.576655, 0.342438, 0.789128, 2.41666, 7.07463e-07, 1
161, 0.0869532, 0.145015, 0.153855, 0.411924, 35.4974, 0.780479, 0.345608, 0.71678, 0.583343, 8.5789e-07, 1
165, 0.0767282, 0.142296, 0.145142, 0.421058, 38.3069, 0.642509, 0.4876, 0.713587, 3.7545, 9.28633e-07, 1
166, 0.106982, 0.141157, 0.182584, 0.618932, 55.3276, 0.55714, 0.771398, 0.829648, 1.10222, 6.0141e-07, 1
169, 0.0983662, 0.112073, 0.154641, 0.851518, 51.4477, 0.469553, 0.223654, 0.793478, 1.79558, 6.33121e-07, 1
172, 0.0946724, 0.136039, 0.168044, 0.819053, 37.6819, 0.329076, 0.61996, 0.875113, 1.49306, 6.98376e-07, 1
175, 0.103044, 0.111098, 0.168931, 0.620386, 38.9799, 0.509473, 0.16528, 0.873861, 1.96357, 3.62265e-07, 1
177, 0.0571075, 0.135599, 0.11451, 0.447629, 40.7223, 0.343209, 0.777323, 0.484534, 3.56204, 5.69539e-07, 0.5
179, 0.087733, 0.123913, 0.169736, 0.372498, 38.8707, 0.630275, 0.223432, 0.907294, 1.98791, 5.10076e-07, 1
181, 0.0950893, 0.134784, 0.155857, 0.714235, 48.1986, 0.538992, 0.726783, 0.752819, 0.310924, 8.84818e-07, 1
187, 0.0835907, 0.141283, 0.168228, 0.36642, 43.1739, 0.654975, 0.322172, 0.818031, 0.370129, 2.82189e-07, 0.5
189, 0.110284, 0.132415, 0.170391, 0.867586, 37.1097, 0.383622, 0.658864, 0.882964, 0.536966, 8.96591e-07, 1
192, 0.0626944, 0.112166, 0.112689, 0.433415, 35.9405, 0.328905, 0.566055, 0.523853, 0.218863, 9.22682e-07, 1
195, 0.116179, 0.139968, 0.166884, 0.46894, 44.112, 0.605154, 0.364978, 0.801313, 0.329927, 3.78965e-07, 1
196, 0.0620438, 0.129452, 0.161535, 0.255714, 34.2913, 0.692276, 0.336844, 0.696303, 1.62958, 3.03702e-07, 1
197, 0.096984, 0.123662, 0.175171, 0.700616, 39.8045, 0.398601, 0.547831, 0.876986, 0.881911, 7.93369e-07, 1
199, 0.0987729, 0.144862, 0.154674, 0.369681, 39.5916, 0.7185, 0.369726, 0.720191, 0.353843, 8.83177e-07, 1
203, 0.0923376, 0.139393, 0.1659, 0.756958, 40.9851, 0.413124, 0.56179, 0.864409, 0.866841, 7.46466e-07, 1
204, 0.0997605, 0.142595, 0.141283, 0.822505, 44.8033, 0.408049, 0.851495, 0.714301, 0.375119, 9.6037e-07, 1
205, 0.105679, 0.120413, 0.174053, 0.867041, 41.7697, 0.260311, 0.662558, 0.904689, 1.16011, 6.136e-07, 1
206, 0.121605, 0.0837516, 0.189073, 0.386869, 35.3017, 0.399983, 0.568493, 0.704339, 0.0471941, 9.05089e-08, 1
207, 0.0666428, 0.120415, 0.132108, 0.584544, 38.5834, 0.569845, 0.71615, 0.504588, 0.119222, 4.57196e-07, 1
214, 0.115746, 0.125391, 0.159067, 0.487398, 54.4472, 0.380881, 0.792973, 0.783632, 1.42321, 6.46874e-07, 1
215, 0.0589252, 0.135323, 0.177257, 0.234211, 36.1266, 0.610054, 0.375443, 0.844387, 1.91469, 3.21231e-07, 1
218, 0.0583576, 0.146506, 0.192763, 0.607564, 41.0201, 0.338046, 0.291692, 0.926156, 2.48554, 1.18536e-07, 1
220, 0.0803249, 0.110422, 0.123489, 0.716238, 49.9348, 0.367489, 0.143944, 0.679992, 1.00551, 8.41697e-07, 1
221, 0.0710164, 0.128405, 0.126872, 0.181873, 48.9737, 0.165662, 0.615628, 0.660202, 0.0820909, 9.00322e-07, 1
230, 0.0955937, 0.135408, 0.178249, 0.337715, 31.6078, 0.666179, 0.334768, 0.758922, 1.79822, 2.83999e-07, 1
233, 0.0807396, 0.146061, 0.171557, 0.475227, 42.5516, 0.611157, 0.37143, 0.876603, 0.494247, 3.53673e-07, 1
234, 0.0599549, 0.08721, 0.126507, 0.32322, 40.2577, 0.200206, 0.169723, 0.603789, 2.17325, 2.56316e-07, 1
240, 0.0929238, 0.124337, 0.149928, 0.828582, 50.0835, 0.703138, 0.135193, 0.607505, 0.252028, 4.79959e-07, 1
241, 0.0863667, 0.117844, 0.169609, 0.592888, 38.9493, 0.42724, 0.800841, 0.811158, 1.53904, 6.47011e-07, 1
242, 0.136267, 0.145231, 0.154288, 0.457174, 38.7703, 0.566326, 0.299649, 0.719958, 0.114256, 8.32872e-07, 1
243, 0.0888524, 0.147522, 0.145481, 0.7244, 46.0394, 0.497973, 0.848645, 0.763944, 0.274203, 9.52045e-07, 1
248, 0.10587, 0.124373, 0.179397, 0.80782, 39.5362, 0.378016, 0.558294, 0.917125, 1.04844, 5.71452e-07, 1
249, 0.0511817, 0.107496, 0.130878, 0.250519, 41.5089, 0.205408, 0.221522, 0.627756, 2.79282, 4.18303e-07, 1
252, 0.145616, 0.140543, 0.146991, 0.605707, 32.0269, 0.71444, 0.306362, 0.54812, 1.26146, 7.50693e-07, 1
255, 0.088992, 0.149111, 0.157176, 0.779906, 37.7273, 0.512559, 0.575948, 0.87162, 0.660568, 9.19254e-07, 1
257, 0.0760145, 0.135294, 0.150647, 0.738478, 36.0266, 0.667599, 0.466569, 0.656263, 1.18713, 4.18193e-07, 1
258, 0.0849977, 0.136323, 0.174375, 0.352633, 38.1646, 0.637648, 0.263404, 0.804947, 1.09077, 2.91475e-07, 0.5
259, 0.148069, 0.122977, 0.165479, 0.683173, 45.3686, 0.596151, 0.285959, 0.761419, 0.666566, 7.14149e-07, 1
261, 0.136913, 0.140161, 0.152403, 0.604113, 42.1656, 0.613937, 0.263005, 0.742016, 0.0974205, 7.00106e-07, 1
263, 0.0836746, 0.11522, 0.162477, 0.528589, 36.672, 0.296651, 0.772847, 0.859408, 1.32546, 6.58206e-07, 1
