Scotland's Census 2011 - National Records of Scotland,,,,
Table DC1117SC - Age by sex,,,,
All people,,,,
,,,,
,,All people,Males,Females
Ayrshire & Arran,44,"5,771","2,708","3,063"
Ayrshire & Arran,45,"5,790","2,753","3,037"
Ayrshire & Arran,46,"6,122","2,905","3,217"
Ayrshire & Arran,47,"5,890","2,830","3,060"
Ayrshire & Arran,48,"5,935","2,761","3,174"
Ayrshire & Arran,49,"5,650","2,776","2,874"
Ayrshire & Arran,50,"5,683","2,800","2,883"
Ayrshire & Arran,51,"5,385","2,602","2,783"
Ayrshire & Arran,52,"5,664","2,778","2,886"
Ayrshire & Arran,53,"5,437","2,630","2,807"
Ayrshire & Arran,54,"5,262","2,512","2,750"
Ayrshire & Arran,55,"5,108","2,414","2,694"
Ayrshire & Arran,56,"5,029","2,449","2,580"
Ayrshire & Arran,57,"5,030","2,419","2,611"
Ayrshire & Arran,58,"5,071","2,401","2,670"
Ayrshire & Arran,59,"4,834","2,314","2,520"
Ayrshire & Arran,60,"4,946","2,461","2,485"
Ayrshire & Arran,61,"5,026","2,491","2,535"
Ayrshire & Arran,62,"5,305","2,544","2,761"
Ayrshire & Arran,63,"5,642","2,755","2,887"
Ayrshire & Arran,64,"5,751","2,732","3,019"
Ayrshire & Arran,65,"4,345","2,089","2,256"
Ayrshire & Arran,66,"4,622","2,218","2,404"
Ayrshire & Arran,67,"4,522","2,215","2,307"
Ayrshire & Arran,68,"4,232","1,997","2,235"
Ayrshire & Arran,69,"3,929","1,795","2,134"
Ayrshire & Arran,70,"3,671","1,699","1,972"
Ayrshire & Arran,71,"3,811","1,820","1,991"
Ayrshire & Arran,72,"3,560","1,664","1,896"
Ayrshire & Arran,73,"3,489","1,614","1,875"
Ayrshire & Arran,74,"3,354","1,481","1,873"
Ayrshire & Arran,75,"3,127","1,421","1,706"
Ayrshire & Arran,76,"2,993","1,333","1,660"
Ayrshire & Arran,77,"2,865","1,257","1,608"
Ayrshire & Arran,78,"2,698","1,166","1,532"
Ayrshire & Arran,79,"2,564","1,093","1,471"
Ayrshire & Arran,80,"2,313",976,"1,337"
Ayrshire & Arran,81,"2,062",791,"1,271"
Ayrshire & Arran,82,"1,830",706,"1,124"
Ayrshire & Arran,83,"1,656",662,994
Ayrshire & Arran,84,"1,594",590,"1,004"
Ayrshire & Arran,85 to 89,"5,486","1,879","3,607"
Ayrshire & Arran,90 to 94,"2,153",543,"1,610"
Ayrshire & Arran,95 and over,589,110,479
Borders,All people,"113,870","55,160","58,710"
Borders,Under 1,"1,104",564,540
Borders,1,"1,099",571,528
Borders,2,"1,153",582,571
Borders,3,"1,188",568,620
Borders,4,"1,168",588,580
Borders,5,"1,124",593,531
Borders,6,"1,216",612,604
Borders,7,"1,182",630,552
Borders,8,"1,154",580,574
Borders,9,"1,229",598,631
Borders,10,"1,188",616,572
Borders,11,"1,259",615,644
Borders,12,"1,247",670,577
Borders,13,"1,313",648,665
Borders,14,"1,328",685,643
Borders,15,"1,389",728,661
Borders,16,"1,327",663,664
Borders,17,"1,360",684,676
Borders,18,"1,205",598,607
Borders,19,"1,128",542,586
Borders,20,"1,098",537,561
Borders,21,"1,096",543,553
Borders,22,"1,019",509,510
Borders,23,"1,079",550,529
Borders,24,980,466,514
Borders,25,"1,062",535,527
Borders,26,955,474,481
Borders,27,988,473,515
Borders,28,995,447,548
Borders,29,"1,029",487,542
Borders,30,"1,098",539,559
Borders,31,"1,040",551,489
Borders,32,988,477,511
Borders,33,992,469,523
Borders,34,963,478,485
Borders,35,"1,151",550,601
Borders,36,"1,301",619,682
Borders,37,"1,239",577,662
Borders,38,"1,409",676,733
Borders,39,"1,634",806,828
Borders,40,"1,635",753,882
Borders,41,"1,640",799,841
Borders,42,"1,788",853,935
Borders,43,"1,751",886,865
Borders,44,"1,866",875,991
Borders,45,"1,772",858,914
Borders,46,"1,982","1,016",966
Borders,47,"1,878",891,987
Borders,48,"1,863",947,916
Borders,49,"1,753",887,866
Borders,50,"1,797",909,888
Borders,51,"1,757",867,890
Borders,52,"1,772",883,889
Borders,53,"1,719",807,912
Borders,54,"1,678",828,850
Borders,55,"1,646",809,837
Borders,56,"1,571",817,754
Borders,57,"1,617",784,833
Borders,58,"1,584",771,813
Borders,59,"1,568",769,799
Borders,60,"1,621",802,819
Borders,61,"1,693",832,861
Borders,62,"1,739",863,876
Borders,63,"1,922",973,949
Borders,64,"1,962",932,"1,030"
Borders,65,"1,466",747,719
Borders,66,"1,487",709,778
Borders,67,"1,449",678,771
Borders,68,"1,416",728,688
Borders,69,"1,233",567,666
Borders,70,"1,227",570,657
Borders,71,"1,221",581,640
Borders,72,"1,241",589,652
Borders,73,"1,141",543,598
Borders,74,"1,070",481,589
Borders,75,"1,027",495,532
Borders,76,960,429,531
Borders,77,894,386,508
Borders,78,883,383,500
Borders,79,804,352,452
Borders,80,817,381,436
Borders,81,731,324,407
Borders,82,667,279,388
Borders,83,608,259,349
Borders,84,508,197,311
Borders,85 to 89,"2,004",716,"1,288"
Borders,90 to 94,770,227,543
Borders,95 and over,195,30,165
Dumfries & Galloway,All people,"151,324","73,405","77,919"
Dumfries & Galloway,Under 1,"1,487",739,748
Dumfries & Galloway,1,"1,577",813,764
Dumfries & Galloway,2,"1,495",759,736
Dumfries & Galloway,3,"1,563",756,807
Dumfries & Galloway,4,"1,538",805,733
Dumfries & Galloway,5,"1,540",798,742
Dumfries & Galloway,6,"1,558",780,778
Dumfries & Galloway,7,"1,470",758,712
Dumfries & Galloway,8,"1,463",778,685
Dumfries & Galloway,9,"1,347",717,630
Dumfries & Galloway,10,"1,555",793,762
Dumfries & Galloway,11,"1,570",821,749
Dumfries & Galloway,12,"1,681",878,803
